"No.","Time","Source","Destination","Protocol","Length","Info"
"228","2.519675","10.1.0.43","224.0.0.252","LLMNR","68","Standard query 0xcb77 ANY TUF-CRUZ"
"229","2.519783","10.1.0.43","224.0.0.22","IGMPv3","62","Membership Report / Join group 224.0.0.251 for any sources / Join group 224.0.0.252 for any sources"
"230","2.621248","fe80::708:2dfd:1a83:4aee","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"231","2.825882","ee:74:d7:bc:c2:c7","Nearest-Bridge","LLDP","161","MA/ec:74:d7:ac:c2:c6 MA/ee:74:d7:bc:c2:c7 120 SysN=GWN7664E_ec:74:d7:ac:c2:c6 SysD=GWN7664E_1.0.25.42 "
"232","2.928383","fe80::708:2dfd:1a83:4aee","ff02::1:3","LLMNR","88","Standard query 0xcb77 ANY TUF-CRUZ"
"233","3.030439","10.1.0.43","224.0.0.252","LLMNR","68","Standard query 0xcb77 ANY TUF-CRUZ"
"234","3.133377","10.1.0.43","10.1.0.255","NBNS","110","Registration NB TUF-CRUZ<20>"
"235","3.133603","10.1.0.43","10.1.0.255","NBNS","110","Registration NB TUF-CRUZ<00>"
"236","3.133659","10.1.0.43","10.1.0.255","NBNS","110","Registration NB WORKGROUP<00>"
"237","3.178604","10.1.0.73","104.86.189.49","TCP","55","55805  >  443 [ACK] Seq=1 Ack=1 Win=2043 Len=1"
"238","3.202121","104.86.189.49","10.1.0.73","TCP","66","443  >  55805 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2"
"239","3.483431","13.214.211.90","10.1.0.73","TLSv1.2","93","Application Data"
"240","3.483431","13.214.211.90","10.1.0.73","TLSv1.2","78","Application Data"
"241","3.483594","10.1.0.73","13.214.211.90","TCP","54","22103  >  443 [ACK] Seq=1 Ack=65 Win=253 Len=0"
"242","3.483974","10.1.0.73","13.214.211.90","TCP","54","22103  >  443 [FIN, ACK] Seq=1 Ack=65 Win=253 Len=0"
"243","3.542754","AzureWaveTec_96:f1:7a","Broadcast","ARP","42","ARP Announcement for 10.1.0.43"
"244","3.601510","13.214.211.90","10.1.0.73","TCP","54","443  >  22103 [ACK] Seq=65 Ack=2 Win=673 Len=0"
"245","3.645757","10.1.0.43","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"246","3.646387","fe80::708:2dfd:1a83:4aee","ff02::c","SSDP","183","M-SEARCH * HTTP/1.1 "
"247","3.646529","10.1.0.43","239.255.255.250","SSDP","169","M-SEARCH * HTTP/1.1 "
"248","3.646689","AzureWaveTec_ff:7e:af","Broadcast","ARP","42","Who has 10.1.0.242? Tell 10.1.0.162"
"249","3.646705","AzureWaveTec_ff:7e:af","Broadcast","ARP","42","Who has 10.1.0.132? Tell 10.1.0.162"
"250","3.646715","AzureWaveTec_ff:7e:af","Broadcast","ARP","42","Who has 10.1.0.133? Tell 10.1.0.162"
"251","3.646726","fe80::708:2dfd:1a83:4aee","ff02::c","SSDP","183","M-SEARCH * HTTP/1.1 "
"252","3.747665","10.1.0.43","239.255.255.250","SSDP","169","M-SEARCH * HTTP/1.1 "
"253","3.748173","fe80::708:2dfd:1a83:4aee","ff02::c","SSDP","183","M-SEARCH * HTTP/1.1 "
"254","3.748325","10.1.0.43","239.255.255.250","SSDP","169","M-SEARCH * HTTP/1.1 "
"255","3.795019","10.1.6.113","10.1.0.73","TCP","54","7680  >  42219 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"256","3.850468","10.1.0.43","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"257","3.850901","10.1.0.43","10.1.0.255","NBNS","110","Registration NB WORKGROUP<00>"
"258","3.850979","10.1.0.43","10.1.0.255","NBNS","110","Registration NB TUF-CRUZ<00>"
"259","3.869674","172.64.148.235","10.1.0.73","TLSv1.2","78","Application Data"
"260","3.870057","10.1.0.73","172.64.148.235","TLSv1.2","82","Application Data"
"261","3.952264","10.1.0.43","10.1.0.255","NBNS","110","Registration NB TUF-CRUZ<20>"
"262","4.110560","10.1.0.73","172.64.148.235","TCP","82","[TCP Retransmission] 27579  >  443 [PSH, ACK] Seq=1 Ack=25 Win=253 Len=28"
"263","4.138409","172.64.148.235","10.1.0.73","TCP","66","443  >  27579 [ACK] Seq=25 Ack=29 Win=16 Len=0 SLE=1 SRE=29"
"264","4.259889","fe80::1c99:22c9:5c3e:ab29","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"265","4.363471","::","ff02::1:ff3e:ab29","ICMPv6","86","Neighbor Solicitation for fe80::1c99:22c9:5c3e:ab29"
"266","4.363545","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0x22313d71"
"267","4.363602","AzureWaveTec_ff:7e:af","Broadcast","ARP","42","Who has 10.1.0.242? Tell 10.1.0.162"
"268","4.363617","AzureWaveTec_ff:7e:af","Broadcast","ARP","42","Who has 10.1.0.132? Tell 10.1.0.162"
"269","4.363629","AzureWaveTec_ff:7e:af","Broadcast","ARP","42","Who has 10.1.0.133? Tell 10.1.0.162"
"270","4.714406","CloudNetwork_32:b5:21","Broadcast","ARP","42","Who has 10.1.0.20? Tell 10.1.0.73"
"271","4.717557","GrandstreamN_ef:2c:bc","CloudNetwork_32:b5:21","ARP","42","10.1.0.1 is at c0:74:ad:ef:2c:bc"
"272","4.729340","CloudNetwork_32:b5:21","Broadcast","ARP","42","Who has 10.1.0.24? Tell 10.1.0.73"
"273","4.731638","GrandstreamN_ef:2c:bc","CloudNetwork_32:b5:21","ARP","42","10.1.0.1 is at c0:74:ad:ef:2c:bc"
"274","4.976371","10.1.0.43","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"275","5.283375","fe80::708:2dfd:1a83:4aee","ff02::1:2","DHCPv6","120","Information-request XID: 0x87db24 CID: 000100012e9f510dcc28aa162c40 "
"276","5.283447","10.1.0.43","224.0.0.251","MDNS","132","Standard query 0x0000 PTR 6.a.8.c.6.6.4.3.b.1.5.f.3.5.8.d.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question"
"277","5.287055","fe80::708:2dfd:1a83:4aee","ff02::fb","MDNS","152","Standard query 0x0000 PTR 6.a.8.c.6.6.4.3.b.1.5.f.3.5.8.d.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question"
"278","5.287594","AzureWaveTec_ff:7e:af","Broadcast","ARP","42","Who has 10.1.0.242? Tell 10.1.0.162"
"279","5.287611","AzureWaveTec_ff:7e:af","Broadcast","ARP","42","Who has 10.1.0.132? Tell 10.1.0.162"
"280","5.385996","AzureWaveTec_ff:7e:af","Broadcast","ARP","42","Who has 10.1.0.133? Tell 10.1.0.162"
"281","5.586629","CloudNetwork_32:b5:21","Broadcast","ARP","42","Who has 10.1.0.20? Tell 10.1.0.73"
"282","5.586703","CloudNetwork_32:b5:21","Broadcast","ARP","42","Who has 10.1.0.24? Tell 10.1.0.73"
"283","5.591290","GrandstreamN_ef:2c:bc","CloudNetwork_32:b5:21","ARP","42","10.1.0.1 is at c0:74:ad:ef:2c:bc"
"284","5.600121","GrandstreamN_ef:2c:bc","CloudNetwork_32:b5:21","ARP","42","10.1.0.1 is at c0:74:ad:ef:2c:bc"
"285","5.693395","10.1.0.43","224.0.0.251","MDNS","132","Standard query 0x0000 PTR 6.a.8.c.6.6.4.3.b.1.5.f.3.5.8.d.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question"
"286","5.694118","fe80::708:2dfd:1a83:4aee","ff02::fb","MDNS","152","Standard query 0x0000 PTR 6.a.8.c.6.6.4.3.b.1.5.f.3.5.8.d.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question"
"287","5.694982","fe80::708:2dfd:1a83:4aee","ff02::1:3","LLMNR","152","Standard query 0xbfa5 PTR 6.a.8.c.6.6.4.3.b.1.5.f.3.5.8.d.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"288","5.795697","10.1.0.43","224.0.0.252","LLMNR","132","Standard query 0xbfa5 PTR 6.a.8.c.6.6.4.3.b.1.5.f.3.5.8.d.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"289","6.205422","fe80::708:2dfd:1a83:4aee","ff02::1:3","LLMNR","152","Standard query 0xbfa5 PTR 6.a.8.c.6.6.4.3.b.1.5.f.3.5.8.d.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"290","6.205618","10.1.0.43","224.0.0.251","MDNS","132","Standard query 0x0000 PTR 6.a.8.c.6.6.4.3.b.1.5.f.3.5.8.d.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question"
"291","6.206888","10.1.0.43","224.0.0.252","LLMNR","132","Standard query 0xbfa5 PTR 6.a.8.c.6.6.4.3.b.1.5.f.3.5.8.d.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"292","6.220917","10.1.0.73","172.253.118.188","TCP","55","16602  >  5228 [ACK] Seq=1 Ack=1 Win=253 Len=1"
"293","6.252017","10.1.0.73","172.253.118.188","TCP","55","8566  >  5228 [ACK] Seq=1 Ack=1 Win=253 Len=1"
"294","6.304666","172.253.118.188","10.1.0.73","TCP","66","5228  >  8566 [ACK] Seq=1 Ack=2 Win=1024 Len=0 SLE=1 SRE=2"
"295","6.307539","fe80::708:2dfd:1a83:4aee","ff02::fb","MDNS","152","Standard query 0x0000 PTR 6.a.8.c.6.6.4.3.b.1.5.f.3.5.8.d.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question"
"296","6.346579","10.1.0.73","172.253.118.188","TCP","55","63182  >  5228 [ACK] Seq=1 Ack=1 Win=253 Len=1"
"297","6.346706","10.1.0.73","74.125.200.188","TCP","55","8345  >  5228 [ACK] Seq=1 Ack=1 Win=253 Len=1"
"298","6.361485","10.1.0.73","142.251.12.188","TCP","55","57989  >  5228 [ACK] Seq=1 Ack=1 Win=253 Len=1"
"299","6.397800","74.125.200.188","10.1.0.73","TCP","66","5228  >  8345 [ACK] Seq=1 Ack=2 Win=1024 Len=0 SLE=1 SRE=2"
